episode,path,player,side,won,opp_deck,player_winrate,player_games
87393577,/Users/nickzwart/Desktop/20260722/87393577.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87393607,/Users/nickzwart/Desktop/20260722/87393607.json,__Taichicchi__,0,1,Crustle,0.597,1042
87394156,/Users/nickzwart/Desktop/20260722/87394156.json,__Taichicchi__,1,1,Crustle,0.597,1042
87396179,/Users/nickzwart/Desktop/20260722/87396179.json,__Taichicchi__,0,1,other,0.597,1042
87396257,/Users/nickzwart/Desktop/20260722/87396257.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87396756,/Users/nickzwart/Desktop/20260722/87396756.json,__Taichicchi__,0,1,M-Starmie,0.597,1042
87397290,/Users/nickzwart/Desktop/20260722/87397290.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87397816,/Users/nickzwart/Desktop/20260722/87397816.json,__Taichicchi__,1,1,Crustle,0.597,1042
87398343,/Users/nickzwart/Desktop/20260722/87398343.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87398891,/Users/nickzwart/Desktop/20260722/87398891.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87399424,/Users/nickzwart/Desktop/20260722/87399424.json,__Taichicchi__,0,0,Archaludon,0.597,1042
87399962,/Users/nickzwart/Desktop/20260722/87399962.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87401053,/Users/nickzwart/Desktop/20260722/87401053.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87401071,/Users/nickzwart/Desktop/20260722/87401071.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87402125,/Users/nickzwart/Desktop/20260722/87402125.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87402661,/Users/nickzwart/Desktop/20260722/87402661.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87403189,/Users/nickzwart/Desktop/20260722/87403189.json,__Taichicchi__,0,1,Crustle,0.597,1042
87403719,/Users/nickzwart/Desktop/20260722/87403719.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87404257,/Users/nickzwart/Desktop/20260722/87404257.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87404788,/Users/nickzwart/Desktop/20260722/87404788.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87404896,/Users/nickzwart/Desktop/20260722/87404896.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87406470,/Users/nickzwart/Desktop/20260722/87406470.json,__Taichicchi__,1,0,other,0.597,1042
87406924,/Users/nickzwart/Desktop/20260722/87406924.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87406926,/Users/nickzwart/Desktop/20260722/87406926.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87407467,/Users/nickzwart/Desktop/20260722/87407467.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87408532,/Users/nickzwart/Desktop/20260722/87408532.json,__Taichicchi__,1,1,other,0.597,1042
87409063,/Users/nickzwart/Desktop/20260722/87409063.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87409595,/Users/nickzwart/Desktop/20260722/87409595.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87410121,/Users/nickzwart/Desktop/20260722/87410121.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87410644,/Users/nickzwart/Desktop/20260722/87410644.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87411175,/Users/nickzwart/Desktop/20260722/87411175.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87411709,/Users/nickzwart/Desktop/20260722/87411709.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87411712,/Users/nickzwart/Desktop/20260722/87411712.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87412242,/Users/nickzwart/Desktop/20260722/87412242.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87412756,/Users/nickzwart/Desktop/20260722/87412756.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87413819,/Users/nickzwart/Desktop/20260722/87413819.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87414344,/Users/nickzwart/Desktop/20260722/87414344.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87414626,/Users/nickzwart/Desktop/20260722/87414626.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87414872,/Users/nickzwart/Desktop/20260722/87414872.json,__Taichicchi__,0,1,other,0.597,1042
87415396,/Users/nickzwart/Desktop/20260722/87415396.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87415910,/Users/nickzwart/Desktop/20260722/87415910.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87416446,/Users/nickzwart/Desktop/20260722/87416446.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87416463,/Users/nickzwart/Desktop/20260722/87416463.json,__Taichicchi__,1,0,other,0.597,1042
87416753,/Users/nickzwart/Desktop/20260722/87416753.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87417504,/Users/nickzwart/Desktop/20260722/87417504.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87417505,/Users/nickzwart/Desktop/20260722/87417505.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87418035,/Users/nickzwart/Desktop/20260722/87418035.json,__Taichicchi__,1,1,Crustle,0.597,1042
87418353,/Users/nickzwart/Desktop/20260722/87418353.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87418577,/Users/nickzwart/Desktop/20260722/87418577.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87419115,/Users/nickzwart/Desktop/20260722/87419115.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87419648,/Users/nickzwart/Desktop/20260722/87419648.json,__Taichicchi__,1,1,Crustle,0.597,1042
87420187,/Users/nickzwart/Desktop/20260722/87420187.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87420721,/Users/nickzwart/Desktop/20260722/87420721.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87421251,/Users/nickzwart/Desktop/20260722/87421251.json,__Taichicchi__,1,0,Crustle,0.597,1042
87421594,/Users/nickzwart/Desktop/20260722/87421594.json,__Taichicchi__,1,0,Crustle,0.597,1042
87421792,/Users/nickzwart/Desktop/20260722/87421792.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87422335,/Users/nickzwart/Desktop/20260722/87422335.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87422865,/Users/nickzwart/Desktop/20260722/87422865.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87423931,/Users/nickzwart/Desktop/20260722/87423931.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87424473,/Users/nickzwart/Desktop/20260722/87424473.json,__Taichicchi__,1,0,Crustle,0.597,1042
87425576,/Users/nickzwart/Desktop/20260722/87425576.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87426111,/Users/nickzwart/Desktop/20260722/87426111.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87426687,/Users/nickzwart/Desktop/20260722/87426687.json,__Taichicchi__,0,0,other,0.597,1042
87428809,/Users/nickzwart/Desktop/20260722/87428809.json,__Taichicchi__,1,0,other,0.597,1042
87430387,/Users/nickzwart/Desktop/20260722/87430387.json,__Taichicchi__,1,1,Crustle,0.597,1042
87431403,/Users/nickzwart/Desktop/20260722/87431403.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87431922,/Users/nickzwart/Desktop/20260722/87431922.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87432749,/Users/nickzwart/Desktop/20260722/87432749.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87432936,/Users/nickzwart/Desktop/20260722/87432936.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87433458,/Users/nickzwart/Desktop/20260722/87433458.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87434016,/Users/nickzwart/Desktop/20260722/87434016.json,__Taichicchi__,0,1,Dipplin,0.597,1042
87434480,/Users/nickzwart/Desktop/20260722/87434480.json,__Taichicchi__,1,0,other,0.597,1042
87434505,/Users/nickzwart/Desktop/20260722/87434505.json,__Taichicchi__,1,0,Crustle,0.597,1042
87435660,/Users/nickzwart/Desktop/20260722/87435660.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87436137,/Users/nickzwart/Desktop/20260722/87436137.json,__Taichicchi__,0,0,other,0.597,1042
87436138,/Users/nickzwart/Desktop/20260722/87436138.json,__Taichicchi__,0,0,other,0.597,1042
87436712,/Users/nickzwart/Desktop/20260722/87436712.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87437670,/Users/nickzwart/Desktop/20260722/87437670.json,__Taichicchi__,1,0,other,0.597,1042
87441990,/Users/nickzwart/Desktop/20260722/87441990.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87444531,/Users/nickzwart/Desktop/20260722/87444531.json,__Taichicchi__,0,1,Crustle,0.597,1042
87444535,/Users/nickzwart/Desktop/20260722/87444535.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87445060,/Users/nickzwart/Desktop/20260722/87445060.json,__Taichicchi__,1,0,Crustle,0.597,1042
87447692,/Users/nickzwart/Desktop/20260722/87447692.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87449837,/Users/nickzwart/Desktop/20260722/87449837.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87451921,/Users/nickzwart/Desktop/20260722/87451921.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87454049,/Users/nickzwart/Desktop/20260722/87454049.json,__Taichicchi__,1,1,Crustle,0.597,1042
87456766,/Users/nickzwart/Desktop/20260722/87456766.json,__Taichicchi__,1,0,Crustle,0.597,1042
87462584,/Users/nickzwart/Desktop/20260722/87462584.json,__Taichicchi__,0,0,Dipplin,0.597,1042
87465604,/Users/nickzwart/Desktop/20260722/87465604.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87468634,/Users/nickzwart/Desktop/20260722/87468634.json,__Taichicchi__,0,1,M-Starmie,0.597,1042
87471958,/Users/nickzwart/Desktop/20260722/87471958.json,__Taichicchi__,1,1,Crustle,0.597,1042
87473544,/Users/nickzwart/Desktop/20260722/87473544.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87475675,/Users/nickzwart/Desktop/20260722/87475675.json,__Taichicchi__,1,1,Crustle,0.597,1042
87482009,/Users/nickzwart/Desktop/20260722/87482009.json,__Taichicchi__,1,0,other,0.597,1042
87485835,/Users/nickzwart/Desktop/20260722/87485835.json,__Taichicchi__,0,1,Cynthia-Garchomp,0.597,1042
87492771,/Users/nickzwart/Desktop/20260722/87492771.json,__Taichicchi__,1,0,other,0.597,1042
87503923,/Users/nickzwart/Desktop/20260722/87503923.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87504660,/Users/nickzwart/Desktop/20260722/87504660.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87511460,/Users/nickzwart/Desktop/20260722/87511460.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87511531,/Users/nickzwart/Desktop/20260722/87511531.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87518479,/Users/nickzwart/Desktop/20260722/87518479.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87518518,/Users/nickzwart/Desktop/20260722/87518518.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87518655,/Users/nickzwart/Desktop/20260722/87518655.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87520281,/Users/nickzwart/Desktop/20260722/87520281.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87520348,/Users/nickzwart/Desktop/20260722/87520348.json,__Taichicchi__,0,1,other,0.597,1042
87520386,/Users/nickzwart/Desktop/20260722/87520386.json,__Taichicchi__,1,1,Crustle,0.597,1042
87520850,/Users/nickzwart/Desktop/20260722/87520850.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87521207,/Users/nickzwart/Desktop/20260722/87521207.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87522519,/Users/nickzwart/Desktop/20260722/87522519.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87523042,/Users/nickzwart/Desktop/20260722/87523042.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87523070,/Users/nickzwart/Desktop/20260722/87523070.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87523088,/Users/nickzwart/Desktop/20260722/87523088.json,__Taichicchi__,0,0,Crustle,0.597,1042
87524582,/Users/nickzwart/Desktop/20260722/87524582.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87524602,/Users/nickzwart/Desktop/20260722/87524602.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87524738,/Users/nickzwart/Desktop/20260722/87524738.json,__Taichicchi__,1,1,Crustle,0.597,1042
87524754,/Users/nickzwart/Desktop/20260722/87524754.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87525300,/Users/nickzwart/Desktop/20260722/87525300.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87525857,/Users/nickzwart/Desktop/20260722/87525857.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87526392,/Users/nickzwart/Desktop/20260722/87526392.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87526403,/Users/nickzwart/Desktop/20260722/87526403.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87526957,/Users/nickzwart/Desktop/20260722/87526957.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87527473,/Users/nickzwart/Desktop/20260722/87527473.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87527494,/Users/nickzwart/Desktop/20260722/87527494.json,__Taichicchi__,1,1,Crustle,0.597,1042
87527504,/Users/nickzwart/Desktop/20260722/87527504.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87528622,/Users/nickzwart/Desktop/20260722/87528622.json,__Taichicchi__,0,1,Crustle,0.597,1042
87529163,/Users/nickzwart/Desktop/20260722/87529163.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87529172,/Users/nickzwart/Desktop/20260722/87529172.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87529700,/Users/nickzwart/Desktop/20260722/87529700.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87530282,/Users/nickzwart/Desktop/20260722/87530282.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87530286,/Users/nickzwart/Desktop/20260722/87530286.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87530655,/Users/nickzwart/Desktop/20260722/87530655.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87530804,/Users/nickzwart/Desktop/20260722/87530804.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87531300,/Users/nickzwart/Desktop/20260722/87531300.json,__Taichicchi__,1,0,other,0.597,1042
87531855,/Users/nickzwart/Desktop/20260722/87531855.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87532369,/Users/nickzwart/Desktop/20260722/87532369.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87532893,/Users/nickzwart/Desktop/20260722/87532893.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87533378,/Users/nickzwart/Desktop/20260722/87533378.json,__Taichicchi__,1,0,other,0.597,1042
87533405,/Users/nickzwart/Desktop/20260722/87533405.json,__Taichicchi__,0,0,other,0.597,1042
87533933,/Users/nickzwart/Desktop/20260722/87533933.json,__Taichicchi__,1,0,other,0.597,1042
87535153,/Users/nickzwart/Desktop/20260722/87535153.json,__Taichicchi__,0,0,other,0.597,1042
87537620,/Users/nickzwart/Desktop/20260722/87537620.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87538176,/Users/nickzwart/Desktop/20260722/87538176.json,__Taichicchi__,1,1,other,0.597,1042
87538775,/Users/nickzwart/Desktop/20260722/87538775.json,__Taichicchi__,1,1,other,0.597,1042
87539213,/Users/nickzwart/Desktop/20260722/87539213.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87539218,/Users/nickzwart/Desktop/20260722/87539218.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87539737,/Users/nickzwart/Desktop/20260722/87539737.json,__Taichicchi__,0,0,other,0.597,1042
87539743,/Users/nickzwart/Desktop/20260722/87539743.json,__Taichicchi__,0,0,other,0.597,1042
87539753,/Users/nickzwart/Desktop/20260722/87539753.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87539768,/Users/nickzwart/Desktop/20260722/87539768.json,__Taichicchi__,1,0,other,0.597,1042
87539772,/Users/nickzwart/Desktop/20260722/87539772.json,__Taichicchi__,0,0,other,0.597,1042
87540285,/Users/nickzwart/Desktop/20260722/87540285.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87541295,/Users/nickzwart/Desktop/20260722/87541295.json,__Taichicchi__,0,1,other,0.597,1042
87541831,/Users/nickzwart/Desktop/20260722/87541831.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87542330,/Users/nickzwart/Desktop/20260722/87542330.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87543403,/Users/nickzwart/Desktop/20260722/87543403.json,__Taichicchi__,1,0,other,0.597,1042
87545516,/Users/nickzwart/Desktop/20260722/87545516.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87546065,/Users/nickzwart/Desktop/20260722/87546065.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87547154,/Users/nickzwart/Desktop/20260722/87547154.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87547587,/Users/nickzwart/Desktop/20260722/87547587.json,__Taichicchi__,0,0,other,0.597,1042
87548785,/Users/nickzwart/Desktop/20260722/87548785.json,__Taichicchi__,0,1,other,0.597,1042
87548799,/Users/nickzwart/Desktop/20260722/87548799.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87549341,/Users/nickzwart/Desktop/20260722/87549341.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87549890,/Users/nickzwart/Desktop/20260722/87549890.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87550479,/Users/nickzwart/Desktop/20260722/87550479.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87551566,/Users/nickzwart/Desktop/20260722/87551566.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87552120,/Users/nickzwart/Desktop/20260722/87552120.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87552122,/Users/nickzwart/Desktop/20260722/87552122.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87554222,/Users/nickzwart/Desktop/20260722/87554222.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87554247,/Users/nickzwart/Desktop/20260722/87554247.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87555262,/Users/nickzwart/Desktop/20260722/87555262.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87555772,/Users/nickzwart/Desktop/20260722/87555772.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87556885,/Users/nickzwart/Desktop/20260723/87556885.json,__Taichicchi__,0,1,other,0.597,1042
87558032,/Users/nickzwart/Desktop/20260723/87558032.json,__Taichicchi__,1,1,other,0.597,1042
87558597,/Users/nickzwart/Desktop/20260723/87558597.json,__Taichicchi__,0,0,other,0.597,1042
87558624,/Users/nickzwart/Desktop/20260723/87558624.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87559169,/Users/nickzwart/Desktop/20260723/87559169.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87559712,/Users/nickzwart/Desktop/20260723/87559712.json,__Taichicchi__,0,1,Dragapult,0.597,1042
87559721,/Users/nickzwart/Desktop/20260723/87559721.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87559729,/Users/nickzwart/Desktop/20260723/87559729.json,__Taichicchi__,0,0,Crustle,0.597,1042
87561950,/Users/nickzwart/Desktop/20260723/87561950.json,__Taichicchi__,0,1,other,0.597,1042
87563021,/Users/nickzwart/Desktop/20260723/87563021.json,__Taichicchi__,1,1,other,0.597,1042
87564669,/Users/nickzwart/Desktop/20260723/87564669.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87565109,/Users/nickzwart/Desktop/20260723/87565109.json,__Taichicchi__,0,0,other,0.597,1042
87565688,/Users/nickzwart/Desktop/20260723/87565688.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87568335,/Users/nickzwart/Desktop/20260723/87568335.json,__Taichicchi__,1,0,other,0.597,1042
87582835,/Users/nickzwart/Desktop/20260723/87582835.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87586017,/Users/nickzwart/Desktop/20260723/87586017.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87587565,/Users/nickzwart/Desktop/20260723/87587565.json,__Taichicchi__,1,1,Cynthia-Garchomp,0.597,1042
87587844,/Users/nickzwart/Desktop/20260723/87587844.json,__Taichicchi__,0,0,other,0.597,1042
87591801,/Users/nickzwart/Desktop/20260723/87591801.json,__Taichicchi__,0,1,other,0.597,1042
87592269,/Users/nickzwart/Desktop/20260723/87592269.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87594875,/Users/nickzwart/Desktop/20260723/87594875.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87595007,/Users/nickzwart/Desktop/20260723/87595007.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87595434,/Users/nickzwart/Desktop/20260723/87595434.json,__Taichicchi__,0,1,Crustle,0.597,1042
87596482,/Users/nickzwart/Desktop/20260723/87596482.json,__Taichicchi__,1,0,other,0.597,1042
87596957,/Users/nickzwart/Desktop/20260723/87596957.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042
87597497,/Users/nickzwart/Desktop/20260723/87597497.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87597566,/Users/nickzwart/Desktop/20260723/87597566.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87598629,/Users/nickzwart/Desktop/20260723/87598629.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87599204,/Users/nickzwart/Desktop/20260723/87599204.json,__Taichicchi__,0,0,Crustle,0.597,1042
87601763,/Users/nickzwart/Desktop/20260723/87601763.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87602822,/Users/nickzwart/Desktop/20260723/87602822.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87603896,/Users/nickzwart/Desktop/20260723/87603896.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87604441,/Users/nickzwart/Desktop/20260723/87604441.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87605515,/Users/nickzwart/Desktop/20260723/87605515.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87606555,/Users/nickzwart/Desktop/20260723/87606555.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87610636,/Users/nickzwart/Desktop/20260723/87610636.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87612917,/Users/nickzwart/Desktop/20260723/87612917.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87613606,/Users/nickzwart/Desktop/20260723/87613606.json,__Taichicchi__,0,0,other,0.597,1042
87620545,/Users/nickzwart/Desktop/20260723/87620545.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87621225,/Users/nickzwart/Desktop/20260723/87621225.json,__Taichicchi__,0,1,other,0.597,1042
87624951,/Users/nickzwart/Desktop/20260723/87624951.json,__Taichicchi__,0,1,Cynthia-Garchomp,0.597,1042
87625005,/Users/nickzwart/Desktop/20260723/87625005.json,__Taichicchi__,0,1,other,0.597,1042
87626498,/Users/nickzwart/Desktop/20260723/87626498.json,__Taichicchi__,0,0,other,0.597,1042
87631355,/Users/nickzwart/Desktop/20260723/87631355.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87632849,/Users/nickzwart/Desktop/20260723/87632849.json,__Taichicchi__,0,1,Cynthia-Garchomp,0.597,1042
87635013,/Users/nickzwart/Desktop/20260723/87635013.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042
87638648,/Users/nickzwart/Desktop/20260723/87638648.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87639164,/Users/nickzwart/Desktop/20260723/87639164.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87639434,/Users/nickzwart/Desktop/20260723/87639434.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87643359,/Users/nickzwart/Desktop/20260723/87643359.json,__Taichicchi__,1,1,Alakazam,0.597,1042
